Lvl     1st   2nd   3rd   4th   5th   6th   7th   8th   9th
1st     2     -     -     -     -     -     -     -     -
2nd     3     -     -     -     -     -     -     -     -
3rd     4     2     -     -     -     -     -     -     -
4th     4     3     -     -     -     -     -     -     -
5th     4     3     2     -     -     -     -     -     -
6th     4     3     3     -     -     -     -     -     -
7th     4     3     3     1     -     -     -     -     -
8th     4     3     3     2     -     -     -     -     -
9th     4     3     3     3     1     -     -     -     -
10th    4     3     3     3     2     -     -     -     -
11th    4     3     3     3     2     1     -     -     -
12th    4     3     3     3     2     1     -     -     -
13th    4     3     3     3     2     1     1     -     -
14th    4     3     3     3     2     1     1     -     -
15th    4     3     3     3     2     1     1     1     -
16th    4     3     3     3     2     1     1     1     -
17th    4     3     3     3     2     1     1     1     1
18th    4     3     3     3     3     1     1     1     1
19th    4     3     3     3     3     2     1     1     1
20th    4     3     3     3     3     2     2     1     1

21st    4     3     3     3     3     2     2     2     1
22nd    4     3     3     3     3     2     2     2     2
23rd    4     3     3     3     3     3     2     2     2
24th    4     3     3     3     3     3     3     2     2
25th    4     3     3     3     3     3     3     3     2
26th    4     3     3     3     3     3     3     3     3
27th    4     3     3     3     3     3     3     3     3
28th    4     3     3     3     3     3     3     3     3
29th    4     3     3     3     3     3     3     3     3
30th    4     4     3     3     3     3     3     3     3
31st    4     4     4     3     3     3     3     3     3
32nd    4     4     4     4     3     3     3     3     3
33rd    4     4     4     4     4     3     3     3     3
34th    4     4     4     4     4     4     3     3     3
35th    4     4     4     4     4     4     4     3     3
36th    4     4     4     4     4     4     4     4     3
37th    4     4     4     4     4     4     4     4     4
